Age,Height_cm,Weight_kg,BMI,Menstrual_Cycle_Length_days,Menstrual_Irregularity,Fasting_Glucose_mg_dL,Fasting_Insulin_uIU_mL,HOMA_IR,LH_mIU_mL,FSH_mIU_mL,LH_FSH_Ratio,Total_Testosterone_ng_dL,Free_Testosterone_pg_mL,Total_Cholesterol_mg_dL,Triglycerides_mg_dL,Dietary_Sugar_Intake,Physical_Activity_Level,PCOS_Diagnosis,Hirsutism_Score_FG,Acne_Severity,Alopecia,Skin_Darkening_Acanthosis,first_name,last_name,email,password,Target_Nutrient_Vector
35,150.8,54.2,27.35,18,0,94.9,9.19,2.15340987654321,12.74,6.3,2.022222222222222,56.3,9.06,168,182.0,1,1,0,4,3,0,1,Jerry,Thornton,jerry.thornton10@example.com,B0p2zKA$dC88,"[25.4, 12.0, 320.0, 15.9, 22.4]"
19,158.3,59.3,25.15,21,0,108.8,16.89,4.5373629629629635,9.62,6.1,1.5770491803278688,61.6,4.54,219,105.0,3,3,1,10,3,0,0,Ashley,Massey,ashley.massey11@example.com,A2dU4Il2T2YP,"[29.0, 12.0, 366.2, 10.4, 25.0]"
35,159.2,70.5,23.11,44,1,104.9,4.57,1.1836864197530865,4.64,9.87,0.4701114488348531,53.1,9.27,237,150.0,1,3,1,5,0,1,0,Brian,Hall,brian.hall12@example.com,jhr3sdl&hIUg,"[23.9, 12.0, 320.0, 10.0, 17.7]"
24,163.2,63.9,21.77,35,1,108.8,11.43,3.0705777777777774,12.62,7.08,1.7824858757062145,45.1,6.95,209,76.0,1,2,1,18,2,0,0,Wayne,Burgess,wayne.burgess13@example.com,i1*Ec#5keT2b,"[26.8, 12.0, 340.5, 10.0, 7.0]"
43,158.8,59.0,19.83,20,1,101.3,14.2,3.5517530864197524,8.05,4.25,1.8941176470588237,21.5,4.26,144,128.0,1,2,0,6,2,0,0,James,Duran,james.duran14@example.com,0#CHtrK*%#I*,"[27.5, 12.0, 320.0, 10.0, 7.0]"
24,164.2,64.0,23.52,20,1,104.9,12.33,3.1936222222222224,5.03,12.36,0.406957928802589,66.9,7.37,257,117.0,2,3,0,18,3,0,0,Robert,Torres,robert.torres15@example.com,iY8cOp%nfMjD,"[26.9, 12.0, 320.0, 10.0, 25.0]"
28,151.1,72.5,26.37,18,0,102.6,29.8,7.549333333333333,17.9,6.59,2.7162367223065247,26.6,6.35,259,160.0,2,3,0,2,3,0,0,Maria,Rodriguez,maria.rodriguez16@example.com,wl95GdkWis!Y,"[33.5, 12.0, 320.0, 13.4, 7.0]"
22,162.9,59.9,19.84,32,0,103.4,33.66,8.593688888888888,17.74,10.39,1.7074109720885464,55.7,7.83,157,79.0,1,3,0,4,1,0,0,Sarah,Collins,sarah.collins17@example.com,eQ1ojhin8MLB,"[35.0, 12.0, 320.0, 10.0, 21.6]"
25,162.0,97.4,21.26,34,0,100.4,19.06,4.724997530864197,8.08,9.49,0.8514225500526871,82.3,5.82,149,87.0,2,2,0,0,0,0,0,Michael,Harris,michael.harris18@example.com,YdxsR9S9dqH8,"[29.2, 12.0, 320.0, 10.0, 25.0]"
19,162.8,70.8,29.71,25,0,99.0,18.79,4.593111111111111,14.52,9.49,1.530031612223393,60.1,8.38,224,149.0,2,3,0,2,3,1,0,Taylor,Kirby,taylor.kirby19@example.com,^QmgP6MIH9mS,"[29.0, 12.0, 320.0, 21.8, 25.0]"
38,154.8,70.0,28.84,29,1,88.8,12.3,2.696888888888889,11.75,9.58,1.2265135699373695,45.8,4.55,249,170.0,2,2,1,21,0,0,1,Jeffrey,Spencer,jeffrey.spencer20@example.com,DomrPa5W%v0n,"[26.2, 12.0, 333.9, 19.6, 7.0]"
39,153.8,74.1,26.01,31,0,88.2,24.08,5.244088888888888,8.21,5.8,1.4155172413793105,49.7,7.1,198,75.0,1,3,0,10,1,0,1,Scott,Turner,scott.turner21@example.com,Gl%DchVa08hQ,"[30.0, 12.0, 320.0, 12.5, 12.6]"
39,151.0,57.6,32.55,30,1,120.1,12.9,3.825407407407407,11.0,7.68,1.4322916666666667,17.5,2.12,177,109.0,2,1,0,10,2,1,0,David,Wolfe,david.wolfe22@example.com,AEEzU8$Q#icT,"[27.9, 12.0, 320.0, 28.9, 7.0]"
43,159.7,81.0,23.76,34,0,61.1,10.66,1.6082123456790125,8.41,11.47,0.7332170880557977,47.9,7.8,159,87.0,2,3,1,14,2,0,1,Robert,Harrison,robert.harrison23@example.com,Y$FaNMMaZJls,"[25.0, 12.0, 320.0, 10.0, 9.8]"
34,154.8,52.6,29.41,25,1,118.9,15.43,4.529943209876543,1.78,8.98,0.19821826280623608,62.9,5.25,163,29.0,3,2,0,23,3,0,0,Carrie,Rodriguez,carrie.rodriguez24@example.com,KSLOsjLcm5%r,"[28.9, 12.0, 320.0, 21.0, 25.0]"
24,152.6,79.3,21.81,33,0,111.0,9.03,2.4748888888888887,1.43,6.67,0.2143928035982009,74.9,3.3,123,134.0,2,3,0,9,2,0,1,Lisa,Macdonald,lisa.macdonald25@example.com,XNrT5LC1X^HI,"[25.9, 12.0, 320.0, 10.0, 25.0]"
18,167.9,76.1,24.15,36,0,130.6,14.54,4.6887012345679,6.75,5.76,1.171875,51.0,5.98,166,75.0,1,3,0,22,1,0,0,Jonathan,Cabrera,jonathan.cabrera26@example.com,82eGZo$MGmQ^,"[29.2, 12.0, 320.0, 10.0, 14.5]"
38,153.4,46.0,31.99,27,0,113.9,9.53,2.680165432098765,16.61,3.35,4.95820895522388,74.2,5.86,165,101.0,2,1,1,14,2,1,0,Holly,Evans,holly.evans27@example.com,BSvLMREzNS^i,"[26.2, 12.0, 333.7, 27.5, 25.0]"
44,151.5,65.3,22.74,31,0,97.9,12.14,2.934582716049383,5.11,8.31,0.614921780986763,74.5,3.43,199,167.0,2,2,0,3,2,0,0,Joseph,Miller,joseph.miller28@example.com,jB0rG!IP17T2,"[26.6, 12.0, 320.0, 10.0, 25.0]"
24,146.9,69.4,22.88,28,0,95.4,18.53,4.3648444444444445,3.42,2.05,1.6682926829268294,36.1,8.49,142,171.0,1,1,1,9,2,0,0,Robert,Hayes,robert.hayes29@example.com,YLWOj%B14f6L,"[28.7, 12.0, 363.1, 10.0, 7.0]"
21,164.0,51.5,21.24,38,0,111.1,15.86,4.350730864197531,8.53,10.79,0.7905468025949953,47.1,8.3,194,275.0,1,3,1,17,0,1,1,Tommy,Olson,tommy.olson30@example.com,59gDpVzmjvGB,"[28.7, 12.0, 362.9, 10.0, 8.7]"
38,151.2,70.3,19.7,38,1,116.1,10.52,3.015733333333333,6.41,8.2,0.7817073170731709,36.0,7.1,199,96.0,2,1,1,13,3,1,0,Ana,Martinez,ana.martinez31@example.com,Q%&q%HAZSNmK,"[26.7, 12.0, 339.5, 10.0, 7.0]"
26,154.4,62.0,14.95,39,0,117.7,6.62,1.9238864197530863,11.2,6.6,1.696969696969697,74.5,8.29,218,73.0,3,3,1,6,2,0,0,Jeffrey,Hansen,jeffrey.hansen32@example.com,wFQPOEQvF2bz,"[25.0, 12.0, 320.4, 10.0, 25.0]"
39,158.9,56.1,36.51,40,0,96.4,6.32,1.5043160493827161,2.66,5.56,0.47841726618705044,60.2,5.91,138,134.0,3,2,1,3,0,0,0,Thomas,Thompson,thomas.thompson33@example.com,Sx0JWQJyYNu#,"[25.0, 12.0, 320.0, 38.8, 25.0]"
20,148.3,52.9,28.79,30,0,90.3,15.67,3.4938296296296296,9.39,3.79,2.4775725593667546,72.2,3.63,150,265.0,3,3,0,20,2,0,1,Joshua,Werner,joshua.werner34@example.com,nVQS@ewL5*X&,"[27.4, 22.0, 320.0, 19.5, 25.0]"
25,159.2,62.8,20.43,25,1,82.5,11.05,2.250925925925926,16.56,2.99,5.538461538461537,12.3,4.73,167,75.0,2,1,1,6,1,0,0,Lauren,Acosta,lauren.acosta35@example.com,FkWzPMrGawAt,"[25.5, 12.0, 326.1, 10.0, 7.0]"
26,148.2,50.1,27.1,25,0,97.8,26.16,6.317155555555555,6.54,5.75,1.137391304347826,13.6,10.07,166,94.0,3,3,1,7,2,0,1,Michael,Barnes,michael.barnes36@example.com,DJxoY$Bne5Ff,"[31.6, 12.0, 397.3, 15.3, 7.0]"
34,164.5,54.6,22.98,32,1,79.3,23.93,4.685553086419753,8.6,5.81,1.4802065404475044,18.1,7.0,215,134.0,1,1,0,0,0,0,1,Janet,Hoffman,janet.hoffman37@example.com,wJBV87l!oDw4,"[29.2, 12.0, 320.0, 10.0, 7.0]"
37,164.8,73.9,25.36,35,1,103.6,14.57,3.727041975308642,12.82,6.39,2.0062597809076683,37.9,5.86,152,188.0,3,3,0,16,0,1,0,Danielle,Johnson,danielle.johnson38@example.com,lm@SvFkAvdgJ,"[27.7, 12.0, 320.0, 10.9, 7.0]"
33,166.7,48.0,24.63,37,1,77.4,19.26,3.6808000000000005,5.48,3.58,1.5307262569832403,50.6,9.14,128,180.0,1,3,1,11,0,0,0,Jennifer,Gonzalez,jennifer.gonzalez39@example.com,CzfNl#xO6Sb9,"[27.7, 12.0, 351.2, 10.0, 13.9]"
20,146.6,44.9,20.65,31,0,113.8,18.77,5.274138271604938,4.69,8.13,0.5768757687576875,64.0,6.14,153,56.0,2,2,0,4,3,0,0,Mark,Schmidt,mark.schmidt40@example.com,yN3r8u0f5ke*,"[30.1, 12.0, 320.0, 10.0, 25.0]"
34,165.7,71.2,27.19,28,1,113.0,18.94,5.284493827160494,1.2,4.1,0.29268292682926833,67.7,6.81,168,198.0,2,3,0,2,2,0,0,Stacy,Sullivan,stacy.sullivan41@example.com,LD*!BDH3nWTi,"[30.1, 12.0, 320.0, 15.5, 25.0]"
40,155.7,61.8,19.91,35,0,76.5,13.85,2.6161111111111106,19.51,4.79,4.073068893528184,57.7,2.46,110,198.0,1,3,1,19,2,0,1,Debbie,Clark,debbie.clark42@example.com,k@d84SnC3nWL,"[26.1, 12.0, 332.5, 10.0, 24.6]"
37,161.4,72.4,22.92,25,1,88.4,14.1,3.0776296296296297,8.02,6.43,1.2472783825816485,66.9,6.57,204,214.0,3,1,0,12,2,1,0,Sheila,Wright,sheila.wright43@example.com,mYrWDHT&zPuA,"[26.8, 22.0, 320.0, 10.0, 25.0]"
44,153.3,56.2,29.94,34,1,79.6,5.22,1.0259555555555555,13.91,5.29,2.6294896030245747,42.9,6.28,203,184.0,3,2,1,13,0,0,0,Amber,Becker,amber.becker44@example.com,2PNPns$zha72,"[25.0, 12.0, 320.0, 22.4, 7.0]"
38,154.6,75.6,14.26,21,1,88.1,7.39,1.607553086419753,2.28,4.56,0.5,61.8,4.83,178,170.0,2,3,1,17,1,0,0,Holly,Griffin,holly.griffin45@example.com,gvS8aT#GyFOa,"[25.0, 12.0, 320.0, 10.0, 25.0]"
37,153.0,46.3,24.74,29,0,89.3,17.96,3.960069135802469,14.51,7.58,1.9142480211081794,71.9,8.87,224,148.0,3,1,1,6,0,0,1,Deborah,Smith,deborah.smith46@example.com,Vc6p0UAYE&6d,"[28.1, 12.0, 356.1, 10.0, 25.0]"
42,157.4,76.6,26.15,35,0,84.3,13.86,2.884933333333333,2.88,8.81,0.32690124858115777,109.3,4.54,189,97.0,3,2,1,12,0,1,0,Tracie,Grant,tracie.grant47@example.com,%nEQh8$zR3^%,"[26.5, 12.0, 337.2, 12.9, 25.0]"
21,153.8,65.6,19.23,30,0,102.2,11.16,2.816177777777778,9.72,5.82,1.6701030927835052,76.5,9.11,161,192.0,2,1,0,16,3,1,0,Brooke,King,brooke.king48@example.com,nPPOg*bztGy8,"[26.4, 12.0, 320.0, 10.0, 25.0]"
43,157.4,58.6,25.94,30,0,116.4,10.29,2.9574222222222217,7.23,7.71,0.9377431906614787,75.9,5.99,265,211.0,2,1,1,17,1,0,0,Timothy,Day,timothy.day49@example.com,01HB6J$#yuMR,"[26.6, 22.0, 338.5, 12.4, 25.0]"
22,151.7,31.6,14.69,26,0,114.0,23.15,6.5162962962962965,5.57,9.46,0.5887949260042283,61.8,4.34,232,207.0,1,1,0,5,3,0,0,Robert,Martinez,robert.martinez50@example.com,yH6bJwBrWLnp,"[31.9, 22.0, 320.0, 10.0, 25.0]"
39,152.3,44.5,25.04,39,0,93.6,16.2,3.7439999999999998,18.15,6.93,2.619047619047619,24.6,6.42,216,107.0,1,2,0,21,0,0,1,James,Russo,james.russo51@example.com,&fIyv2mCdTBC,"[27.8, 12.0, 320.0, 10.1, 7.0]"
40,154.7,60.3,28.13,49,1,101.5,19.59,4.909592592592593,18.58,7.69,2.416124837451235,36.3,6.84,244,172.0,2,1,1,17,2,0,0,Jamie,Palmer,jamie.palmer52@example.com,VvjG4ukYiB$N,"[29.5, 12.0, 372.7, 17.8, 7.0]"
37,166.8,74.3,19.38,29,1,94.7,11.97,2.798911111111112,12.56,8.47,1.4828807556080283,61.5,5.36,214,133.0,3,2,1,7,1,0,1,Jennifer,Walker,jennifer.walker53@example.com,A$P!$CCAH#0f,"[26.3, 12.0, 335.7, 10.0, 25.0]"
40,161.0,82.6,21.97,20,1,102.0,15.88,3.9994074074074075,9.54,8.01,1.1910112359550562,66.8,7.33,158,199.0,1,2,0,9,2,1,0,Lindsey,Alvarez,lindsey.alvarez54@example.com,^UG1jkXrhmRP,"[28.1, 12.0, 320.0, 10.0, 25.0]"
43,152.7,72.9,28.53,22,1,84.7,26.23,5.485632098765432,18.36,6.45,2.8465116279069766,77.2,4.38,133,16.0,2,3,0,16,0,0,1,Stacey,Harris,stacey.harris55@example.com,S8k!AHz1hB^C,"[30.4, 12.0, 320.0, 18.8, 25.0]"
19,156.2,50.8,14.98,26,0,88.0,31.54,6.853135802469136,1.17,5.85,0.2,59.1,0.65,163,196.0,1,3,1,15,3,0,0,Ronald,Cox,ronald.cox56@example.com,ExEXIwV0ic3U,"[32.4, 12.0, 406.7, 10.0, 25.0]"
39,151.9,60.1,24.42,36,1,94.2,23.25,5.407777777777778,14.96,8.59,1.7415599534342259,49.5,6.37,192,109.0,2,3,0,14,1,0,1,Joshua,Simmons,joshua.simmons57@example.com,yEz5CI0pJ$gD,"[30.3, 12.0, 320.0, 10.0, 12.2]"
24,150.4,63.2,21.05,41,0,100.9,13.85,3.4505308641975314,10.52,3.57,2.946778711484594,62.1,7.13,259,77.0,1,3,0,20,2,0,1,Ronald,Long,ronald.long58@example.com,02y&@CG3gqox,"[27.3, 12.0, 320.0, 10.0, 25.0]"
21,153.1,73.2,24.96,27,1,101.4,18.62,4.661896296296296,11.04,6.4,1.7249999999999999,36.0,7.61,178,152.0,1,1,0,2,3,1,1,Miranda,Nguyen,miranda.nguyen59@example.com,0@2pRD*2$C69,"[29.1, 12.0, 320.0, 10.0, 7.0]"
20,161.3,68.2,21.34,34,0,100.4,15.24,3.778014814814815,3.67,4.33,0.8475750577367205,55.3,6.73,186,113.0,2,2,1,16,2,0,0,Brian,Christensen,brian.christensen60@example.com,mBRrgh@E3^hX,"[27.8, 12.0, 352.9, 10.0, 20.9]"
37,159.5,54.9,27.51,38,0,117.4,29.69,8.606434567901236,10.73,9.94,1.079476861167002,45.0,2.45,177,97.0,3,3,1,13,2,0,0,Ryan,Johnson,ryan.johnson61@example.com,xpBXj#E9N@ts,"[35.1, 12.0, 437.4, 16.3, 7.0]"
21,166.6,75.6,20.38,28,0,113.6,14.34,4.022281481481481,6.18,8.67,0.7128027681660899,39.6,8.85,168,136.0,2,1,0,22,3,0,0,Karen,Barber,karen.barber62@example.com,uDZ9I#UjVx8m,"[28.2, 12.0, 320.0, 10.0, 7.0]"
43,148.9,64.0,26.96,28,1,89.6,7.87,1.7411160493827158,11.38,5.52,2.061594202898551,74.0,7.08,143,65.0,1,3,0,18,0,0,0,Diana,Weiss,diana.weiss63@example.com,Z1Ksp%gM&9%Q,"[25.0, 12.0, 320.0, 14.9, 25.0]"
39,157.4,50.3,20.2,29,1,101.8,8.39,2.108893827160494,9.66,7.05,1.3702127659574468,53.3,7.35,151,214.0,2,1,1,4,2,1,1,Joseph,Pittman,joseph.pittman64@example.com,b*EMk1aUm@ye,"[25.3, 22.0, 323.7, 10.0, 17.9]"
24,166.9,63.5,28.78,30,0,116.8,9.66,2.7858962962962965,13.56,6.54,2.073394495412844,21.6,5.38,194,172.0,2,3,1,15,3,0,0,Michael,Trevino,michael.trevino65@example.com,y9fwx#69&jgO,"[26.3, 12.0, 335.5, 19.5, 7.0]"
18,149.9,74.2,18.2,37,0,84.1,4.32,0.8970666666666667,17.37,1.99,8.728643216080403,21.1,5.74,168,57.0,2,1,0,1,3,1,1,Yolanda,Spencer,yolanda.spencer66@example.com,UW7w#mM^#eEG,"[25.0, 12.0, 320.0, 10.0, 7.0]"
37,146.0,62.3,21.24,35,0,87.4,11.43,2.4666222222222225,10.99,5.37,2.0465549348230914,28.0,2.34,220,201.0,2,1,1,14,3,0,0,Robert,Navarro,robert.navarro67@example.com,o6f!B6mvbgC9,"[25.8, 15.6, 329.9, 10.0, 7.0]"
18,159.0,53.1,25.89,37,0,104.7,23.85,6.1656666666666675,16.43,4.7,3.4957446808510637,42.0,11.48,219,258.0,1,2,1,19,3,0,0,Jennifer,Wagner,jennifer.wagner68@example.com,1AVg5mB0952i,"[31.4, 22.0, 394.6, 12.2, 7.0]"
26,171.2,86.2,27.11,30,1,113.1,15.32,4.278251851851852,6.86,5.3,1.2943396226415096,64.7,5.33,214,290.0,1,1,0,7,2,0,0,Christopher,Kelly,christopher.kelly69@example.com,SBGKvTtOZGn#,"[28.6, 22.0, 320.0, 15.3, 25.0]"
44,153.1,82.4,21.47,31,1,118.9,19.81,5.815824691358025,8.81,5.97,1.47571189279732,61.5,10.02,160,159.0,1,1,0,22,2,0,1,Erin,Smith,erin.smith70@example.com,@QsCL6a57nre,"[30.9, 12.0, 320.0, 10.0, 25.0]"
25,164.9,60.6,15.45,39,0,123.9,18.05,5.521962962962963,2.33,5.23,0.44550669216061184,22.9,3.58,133,144.0,3,2,1,17,2,0,0,Robert,Hendricks,robert.hendricks71@example.com,ymgTxaXFXo!$,"[30.4, 12.0, 383.4, 10.0, 7.0]"
41,140.6,69.7,18.29,23,1,81.7,12.06,2.4328444444444446,7.17,6.38,1.1238244514106583,22.0,2.64,227,238.0,2,2,1,11,1,0,1,Jennifer,Green,jennifer.green72@example.com,hK7aepo2BBZC,"[25.8, 22.0, 329.3, 10.0, 7.0]"
27,155.7,62.7,37.03,26,0,110.0,9.89,2.686172839506173,8.63,6.3,1.36984126984127,76.2,5.87,148,177.0,2,1,1,15,0,0,1,Derek,Duncan,derek.duncan73@example.com,aoSrMLKv9!9W,"[26.2, 12.0, 333.8, 40.1, 25.0]"
36,157.2,69.3,24.9,31,0,103.4,20.5,5.233827160493828,7.51,3.6,2.086111111111111,81.2,6.9,175,174.0,1,2,0,23,0,1,0,Christina,Mitchell,christina.mitchell74@example.com,SQA94mN3fyWF,"[30.0, 12.0, 320.0, 10.0, 25.0]"
28,160.7,73.7,35.31,34,0,84.2,5.59,1.1621679012345678,9.84,6.86,1.434402332361516,60.6,6.07,145,236.0,1,1,1,3,2,0,0,Zachary,Braun,zachary.braun75@example.com,%gQa9NNZZWfE,"[25.0, 22.0, 320.0, 35.8, 25.0]"
30,152.6,68.5,29.48,36,1,90.7,11.26,2.521683950617284,17.39,1.09,15.954128440366972,87.4,5.1,212,282.0,2,1,0,16,2,0,0,Debra,Daniels,debra.daniels76@example.com,hnB2JSBYaO%h,"[25.9, 22.0, 320.0, 21.2, 25.0]"
27,156.7,70.2,18.17,44,1,102.4,10.43,2.637116049382716,15.22,8.74,1.7414187643020596,44.3,4.55,187,197.0,1,2,1,15,0,0,1,Bryan,Wells,bryan.wells77@example.com,qrwAIBHDU#ea,"[26.1, 12.0, 332.9, 10.0, 7.0]"
20,160.6,39.0,28.43,25,1,108.4,17.69,4.734804938271606,4.93,8.61,0.5725900116144018,78.8,3.71,211,78.0,3,2,0,19,1,0,0,Andrew,Stuart,andrew.stuart78@example.com,WFKX!l@*@@Ex,"[29.3, 12.0, 320.0, 18.6, 25.0]"
43,153.0,60.8,21.95,39,0,87.9,14.87,3.227340740740741,15.47,7.49,2.0654205607476634,62.2,6.53,205,150.0,3,3,1,2,0,0,1,Zachary,Burke,zachary.burke79@example.com,e@jy#!FJ2X64,"[27.0, 12.0, 343.2, 10.0, 25.0]"
33,142.0,62.3,22.15,37,0,98.9,17.65,4.310086419753087,12.46,3.08,4.045454545454546,68.9,3.34,193,74.0,3,1,0,7,0,0,0,Erin,Williams,erin.williams80@example.com,z6^Bmub6HL@@,"[28.6, 12.0, 320.0, 10.0, 25.0]"
31,148.7,54.2,23.57,42,1,134.8,8.36,2.7825382716049387,11.62,10.19,1.140333660451423,46.2,4.56,155,150.0,1,2,1,2,1,0,0,Lori,Hale,lori.hale81@example.com,UIbAQKTpo4ND,"[26.3, 12.0, 335.4, 10.0, 7.3]"
36,153.4,77.3,18.81,30,0,95.8,4.44,1.050251851851852,10.78,5.05,2.1346534653465348,25.2,4.83,193,179.0,3,2,0,10,2,1,0,Charles,Melendez,charles.melendez82@example.com,iOIYj9JfVcKy,"[25.0, 12.0, 320.0, 10.0, 7.0]"
20,155.8,60.6,27.14,21,0,122.7,17.96,5.441214814814815,12.23,4.55,2.687912087912088,66.0,3.18,179,138.0,3,3,0,17,0,0,1,Michelle,Branch,michelle.branch83@example.com,sVN%T9JhE&Ju,"[30.3, 12.0, 320.0, 15.4, 25.0]"
41,159.8,60.8,31.17,32,0,68.8,11.41,1.9382913580246912,14.05,8.82,1.59297052154195,43.1,6.05,217,195.0,2,1,1,15,2,0,0,Christopher,Sexton,christopher.sexton84@example.com,0JIZuLiHXPad,"[25.1, 12.0, 320.7, 25.4, 7.0]"
38,157.4,52.9,27.35,33,0,110.3,19.97,5.4387432098765425,12.45,5.61,2.2192513368983953,42.4,4.92,176,164.0,3,2,0,22,1,1,0,Kimberly,King,kimberly.king85@example.com,ki6A%0xO4XWi,"[30.3, 12.0, 320.0, 15.9, 7.0]"
42,147.8,73.6,23.64,30,0,73.8,14.29,2.6039555555555554,10.65,7.47,1.42570281124498,40.6,4.83,152,279.0,3,1,0,12,3,0,1,Christopher,Rhodes,christopher.rhodes86@example.com,tnEwMxRBuSiY,"[26.1, 22.0, 320.0, 10.0, 7.0]"
36,161.0,29.5,25.93,41,0,94.4,16.55,3.8575802469135807,6.65,7.32,0.9084699453551913,43.5,6.33,186,44.0,3,3,0,1,1,0,0,Bryan,Kelley,bryan.kelley87@example.com,lT#YRhdbkZxg,"[27.9, 12.0, 320.0, 12.3, 7.0]"
39,163.3,73.8,23.84,30,0,81.0,19.49,3.8979999999999997,14.43,8.31,1.7364620938628157,38.0,6.03,203,86.0,2,3,0,14,3,1,0,Linda,Sanders,linda.sanders88@example.com,hmuvVTrOHk$G,"[28.0, 12.0, 320.0, 10.0, 7.0]"
42,135.1,62.5,21.9,32,0,93.7,7.67,1.774516049382716,4.91,6.98,0.7034383954154727,44.8,6.8,188,65.0,3,2,1,22,2,0,0,Marvin,Butler,marvin.butler89@example.com,qAdkT$4yI7ZV,"[25.0, 12.0, 320.0, 10.0, 7.0]"
24,147.9,58.6,28.5,36,1,85.7,0.4,0.08464197530864198,7.19,8.78,0.8189066059225514,59.2,4.19,155,163.0,2,3,0,20,3,0,0,Daniel,Brown,daniel.brown90@example.com,XjxHs6CLIht$,"[25.0, 12.0, 320.0, 18.8, 25.0]"
25,157.7,65.5,25.7,20,1,110.6,5.89,1.608479012345679,7.82,8.45,0.9254437869822486,69.1,7.38,114,69.0,1,3,0,12,2,0,0,Anne,Cardenas,anne.cardenas91@example.com,BH^KLtIK6NA#,"[24.6, 12.0, 320.0, 11.7, 25.0]"
37,155.3,57.0,21.6,39,1,102.7,18.24,4.625303703703703,10.91,7.41,1.4723346828609987,55.7,6.18,164,145.0,3,1,0,10,3,0,0,Victoria,Garcia,victoria.garcia92@example.com,HQqU%A5x2Km^,"[29.1, 12.0, 320.0, 10.0, 21.6]"
29,161.0,30.2,26.54,44,0,87.3,6.96,1.5002666666666666,9.38,6.73,1.3937592867756314,43.6,6.56,209,184.0,2,1,0,18,2,0,0,Kevin,Montoya,kevin.montoya93@example.com,&ZftgDhaUuGp,"[25.0, 12.0, 320.0, 13.8, 7.0]"
