Age,Height_cm,Weight_kg,BMI,Menstrual_Cycle_Length_days,Menstrual_Irregularity,Fasting_Glucose_mg_dL,Fasting_Insulin_uIU_mL,HOMA_IR,LH_mIU_mL,FSH_mIU_mL,LH_FSH_Ratio,Total_Testosterone_ng_dL,Free_Testosterone_pg_mL,Total_Cholesterol_mg_dL,Triglycerides_mg_dL,Dietary_Sugar_Intake,Physical_Activity_Level,PCOS_Diagnosis,Hirsutism_Score_FG,Acne_Severity,Alopecia,Skin_Darkening_Acanthosis,Vitamin_D_ng_mL,first_name,last_name,email,Target_Nutrient_Vector,Allergens,Diet,hashed_password
19,158.3,59.3,25.15,21,0,108.8,16.89,4.5373629629629635,9.62,6.1,1.5770491803278688,61.6,4.54,219,105.0,3,3,1,10,3,0,0,29.4,Ashley,Massey,ashley.massey11@example.com,"[29.0, 12.0, 346.4, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$z6ZJrrveMfB7R8ec$3efa785c2aaef0fdb5b98ff0be8f8114ffe0c3c6dee0e21a4704fbdb139538e7
35,159.2,70.5,23.11,44,1,104.9,4.57,1.1836864197530865,4.64,9.87,0.4701114488348531,53.1,9.27,237,150.0,1,3,1,5,0,1,0,20.3,Brian,Hall,brian.hall12@example.com,"[23.9, 12.0, 320.0, 10.0, 17.7]",,omnivore,pbkdf2:sha256:1000000$qeYSMc6CHTILWh2k$0de41e0011f65ed85d4a508d6bd3d87f76bbe8f5f921e89bcafaa6a58fcf9f20
24,163.2,63.9,21.77,35,1,108.8,11.43,3.0705777777777774,12.62,7.08,1.7824858757062145,45.1,6.95,209,76.0,1,2,1,18,2,0,0,20.4,Wayne,Burgess,wayne.burgess13@example.com,"[26.8, 12.0, 331.7, 10.0, 7.0]",,omnivore,pbkdf2:sha256:1000000$FARh8gVn8x75ZmqS$547916156d6504a92a18a38e0c5fcd54dab39872fb3abb3c7ee5649ea1a33a43
43,158.8,59.0,19.83,20,1,101.3,14.2,3.5517530864197524,8.05,4.25,1.8941176470588237,21.5,4.26,144,128.0,1,2,0,6,2,0,0,42.5,James,Duran,james.duran14@example.com,"[27.5, 12.0, 332.4, 10.0, 7.0]",,omnivore,pbkdf2:sha256:1000000$9GJf20yopq9k492S$106263a18d00463edcac6d30b3c2a11ff2b0b17c1cdd78ac765d881245e62d94
24,164.2,64.0,23.52,20,1,104.9,12.33,3.1936222222222224,5.03,12.36,0.406957928802589,66.9,7.37,257,117.0,2,3,0,18,3,0,0,11.9,Robert,Torres,robert.torres15@example.com,"[26.9, 12.0, 329.7, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$k2EE5sfsp89c7kHR$20b2dec693ab31ef5f618efa0e066a437f0c7ac1e983d62db6a60f6b3001e1a2
28,151.1,72.5,26.37,18,0,102.6,29.8,7.549333333333333,17.9,6.59,2.7162367223065247,26.6,6.35,259,160.0,2,3,0,2,3,0,0,17.9,Maria,Rodriguez,maria.rodriguez16@example.com,"[33.5, 12.0, 362.4, 12.1, 7.0]",,omnivore,pbkdf2:sha256:1000000$ZfcFMeNqxKJ1DuJ5$c22b491446f167aced2c4a8cb3914944c0ed7666eaec9f5468a278bce33d7d30
22,162.9,59.9,19.84,32,0,103.4,33.66,8.593688888888888,17.74,10.39,1.7074109720885464,55.7,7.83,157,79.0,1,3,0,4,1,0,0,30.1,Sarah,Collins,sarah.collins17@example.com,"[35.0, 12.0, 370.2, 10.0, 21.6]",,omnivore,pbkdf2:sha256:1000000$uz1D6MypTviggaJt$6d9d7699770001ee55d8765db21c473d786897cceba9ff54c41bdfac87a37919
25,162.0,97.4,21.26,34,0,100.4,19.06,4.724997530864197,8.08,9.49,0.8514225500526871,82.3,5.82,149,87.0,2,2,0,0,0,0,0,15.7,Michael,Harris,michael.harris18@example.com,"[29.2, 12.0, 341.2, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$Nag8E2a21cfTRgmi$e0303f67176da9102a67640fe3bee2c808d19b5fba76eec8e40aab7d9b401c27
19,162.8,70.8,29.71,25,0,99.0,18.79,4.593111111111111,14.52,9.49,1.530031612223393,60.1,8.38,224,149.0,2,3,0,2,3,1,0,24.2,Taylor,Kirby,taylor.kirby19@example.com,"[29.0, 12.0, 340.2, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$wTSDSI1zp4whdgQo$4ca9ec66e6176e3cc2cc9210163598f99d2933301541241941a3ea5b4b79a2a4
38,154.8,70.0,28.84,29,1,88.8,12.3,2.696888888888889,11.75,9.58,1.2265135699373695,45.8,4.55,249,170.0,2,2,1,21,0,0,1,25.2,Jeffrey,Spencer,jeffrey.spencer20@example.com,"[26.2, 12.0, 328.0, 10.0, 7.0]",,omnivore,pbkdf2:sha256:1000000$O3vTSuijXGaUBVEb$f6e8b3b75ef3ba1e995608e65d90c7bf6102e3019e1b009896063079eddfd90c
39,153.8,74.1,26.01,31,0,88.2,24.08,5.244088888888888,8.21,5.8,1.4155172413793105,49.7,7.1,198,75.0,1,3,0,10,1,0,1,38.7,Scott,Turner,scott.turner21@example.com,"[30.0, 12.0, 345.1, 10.0, 12.6]",,omnivore,pbkdf2:sha256:1000000$6toLWc246h8ay2Dw$a5ea8458a9e922550338256c0a4d5f1c08a2c672513245a366848dd41c03611b
39,151.0,57.6,32.55,30,1,120.1,12.9,3.825407407407407,11.0,7.68,1.4322916666666667,17.5,2.12,177,109.0,2,1,0,10,2,1,0,18.2,David,Wolfe,david.wolfe22@example.com,"[27.9, 12.0, 334.4, 21.3, 7.0]",,omnivore,pbkdf2:sha256:1000000$R54Fq4UoCli5koMu$52e06afd46bab89870399bcdd27a290545e1a136bf0c7d384a4f1cccd127db02
43,159.7,81.0,23.76,34,0,61.1,10.66,1.6082123456790125,8.41,11.47,0.7332170880557977,47.9,7.8,159,87.0,2,3,1,14,2,0,1,24.3,Robert,Harrison,robert.harrison23@example.com,"[25.0, 12.0, 320.0, 10.0, 9.8]",,omnivore,pbkdf2:sha256:1000000$7Lu5EwnYsLX6L4ZK$16a118814810d67a7e987d68ac81692964c2fdd2438d79a61a81a9c8311fc702
34,154.8,52.6,29.41,25,1,118.9,15.43,4.529943209876543,1.78,8.98,0.19821826280623608,62.9,5.25,163,29.0,3,2,0,23,3,0,0,14.2,Carrie,Rodriguez,carrie.rodriguez24@example.com,"[28.9, 12.0, 339.7, 16.6, 25.0]",,omnivore,pbkdf2:sha256:1000000$Uma42aifhw9FzNgi$233207d58c530965a1a23d96cf24b19f040e8127cbd6dcd65705fd042e1c0318
24,152.6,79.3,21.81,33,0,111.0,9.03,2.4748888888888887,1.43,6.67,0.2143928035982009,74.9,3.3,123,134.0,2,3,0,9,2,0,1,37.1,Lisa,Macdonald,lisa.macdonald25@example.com,"[25.9, 12.0, 324.3, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$JpCJ1y15B3F7VDMZ$bd7ecf3e809c35d54f39d7a44229b0e2d5c5d3500f61bc5d0e3749fd3b40068d
18,167.9,76.1,24.15,36,0,130.6,14.54,4.6887012345679,6.75,5.76,1.171875,51.0,5.98,166,75.0,1,3,0,22,1,0,0,32.0,Jonathan,Cabrera,jonathan.cabrera26@example.com,"[29.2, 12.0, 340.9, 10.0, 14.5]",,omnivore,pbkdf2:sha256:1000000$YIJTcyKYaHYu4WyU$b48cf7a757b9cf10d2fbc34e3b20d61a792a0c640461d6675beffe8dba959d64
38,153.4,46.0,31.99,27,0,113.9,9.53,2.680165432098765,16.61,3.35,4.95820895522388,74.2,5.86,165,101.0,2,1,1,14,2,1,0,24.8,Holly,Evans,holly.evans27@example.com,"[26.2, 12.0, 327.8, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$vyr3dDUOuADxBfiw$641933cf09de9464c1c4bb25600133d351cb700208355c04624e01859f0cacf0
44,151.5,65.3,22.74,31,0,97.9,12.14,2.934582716049383,5.11,8.31,0.614921780986763,74.5,3.43,199,167.0,2,2,0,3,2,0,0,18.9,Joseph,Miller,joseph.miller28@example.com,"[26.6, 12.0, 327.8, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$O5dUkIWXQdpQgIdg$87324a0cefca70b2b35d3dcf65f6101f1d1d71685e150d578542b33de09cebbe
24,146.9,69.4,22.88,28,0,95.4,18.53,4.3648444444444445,3.42,2.05,1.6682926829268294,36.1,8.49,142,171.0,1,1,1,9,2,0,0,15.8,Robert,Hayes,robert.hayes29@example.com,"[28.7, 12.0, 344.6, 10.0, 7.0]",,omnivore,pbkdf2:sha256:1000000$3BzLiACeuNj6OCDG$2b4c72589c4306c1e04c2a954e322f57db95347f0c7da6cb5e943cbd47a649e9
21,164.0,51.5,21.24,38,0,111.1,15.86,4.350730864197531,8.53,10.79,0.7905468025949953,47.1,8.3,194,275.0,1,3,1,17,0,1,1,23.3,Tommy,Olson,tommy.olson30@example.com,"[28.7, 12.0, 344.5, 10.0, 8.7]",,omnivore,pbkdf2:sha256:1000000$U6183yjzjRbSj64k$3986ac607efedf7171792d0624cdbc1b48e58bb070a0cebe52e37b7da4d104ea
38,151.2,70.3,19.7,38,1,116.1,10.52,3.015733333333333,6.41,8.2,0.7817073170731709,36.0,7.1,199,96.0,2,1,1,13,3,1,0,21.0,Ana,Martinez,ana.martinez31@example.com,"[26.7, 12.0, 331.2, 10.0, 7.0]",,omnivore,pbkdf2:sha256:1000000$l0Koez9C3MTYm7QS$4d1d1ddc531b91cf2711de0230b2e1fe7ec4494bf306cd72674d1bef9837126c
26,154.4,62.0,14.95,39,0,117.7,6.62,1.9238864197530863,11.2,6.6,1.696969696969697,74.5,8.29,218,73.0,3,3,1,6,2,0,0,32.2,Jeffrey,Hansen,jeffrey.hansen32@example.com,"[25.0, 12.0, 320.2, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$3dKOxGCAf4VVBkSo$d9a63f263473c778f06fbec03ffcaac538ab0817b51b6dd7ec178d916e2800c4
39,158.9,56.1,36.51,40,0,96.4,6.32,1.5043160493827161,2.66,5.56,0.47841726618705044,60.2,5.91,138,134.0,3,2,1,3,0,0,0,20.5,Thomas,Thompson,thomas.thompson33@example.com,"[25.0, 12.0, 320.0, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$sD7aDbUkGwISnpQ3$2235f944bb19764ec363c0f6d3325d782bf8a27f5cb1e15f14e60ac127ba3f05
20,148.3,52.9,28.79,30,0,90.3,15.67,3.4938296296296296,9.39,3.79,2.4775725593667546,72.2,3.63,150,265.0,3,3,0,20,2,0,1,13.6,Joshua,Werner,joshua.werner34@example.com,"[27.4, 22.0, 332.0, 15.7, 25.0]",,omnivore,pbkdf2:sha256:1000000$aTcc5HQ7pLA5cXsC$1671a63774e8e845969a6753db6342d8e19a69b25ab61ae25f60565f4e468a13
25,159.2,62.8,20.43,25,1,82.5,11.05,2.250925925925926,16.56,2.99,5.538461538461537,12.3,4.73,167,75.0,2,1,1,6,1,0,0,29.4,Lauren,Acosta,lauren.acosta35@example.com,"[25.5, 12.0, 323.5, 10.0, 7.0]",,omnivore,pbkdf2:sha256:1000000$U9BczOfBJF5O9OyV$a67aa9fedd512c1bf81103879ad137fd8c62cae41edd758badb3f7d1c0824062
26,148.2,50.1,27.1,25,0,97.8,26.16,6.317155555555555,6.54,5.75,1.137391304347826,13.6,10.07,166,94.0,3,3,1,7,2,0,1,21.8,Michael,Barnes,michael.barnes36@example.com,"[31.6, 12.0, 364.2, 10.0, 7.0]",,omnivore,pbkdf2:sha256:1000000$Izt9oKvvFbWr7jOZ$cd7c9d948c66bb991c026a504f590478513eb6a753f7cf66d790b7a6cf4f9a26
34,164.5,54.6,22.98,32,1,79.3,23.93,4.685553086419753,8.6,5.81,1.4802065404475044,18.1,7.0,215,134.0,1,1,0,0,0,0,1,11.9,Janet,Hoffman,janet.hoffman37@example.com,"[29.2, 12.0, 340.9, 10.0, 7.0]",,omnivore,pbkdf2:sha256:1000000$j5uYbSWWHl11rWAS$c6d93b9ef3365012161c78c421878effae723aa337d1ab909abdb6f9acd8a209
37,164.8,73.9,25.36,35,1,103.6,14.57,3.727041975308642,12.82,6.39,2.0062597809076683,37.9,5.86,152,188.0,3,3,0,16,0,1,0,11.5,Danielle,Johnson,danielle.johnson38@example.com,"[27.7, 12.0, 333.7, 10.5, 7.0]",,omnivore,pbkdf2:sha256:1000000$IgS2VcXbvVa3mduO$ab6cdf2c25fdac9909aba51f6bdf29db4f94323cfe7886861f1cf20dd563028d
33,166.7,48.0,24.63,37,1,77.4,19.26,3.6808000000000005,5.48,3.58,1.5307262569832403,50.6,9.14,128,180.0,1,3,1,11,0,0,0,27.5,Jennifer,Gonzalez,jennifer.gonzalez39@example.com,"[27.7, 12.0, 337.8, 10.0, 13.9]",,omnivore,pbkdf2:sha256:1000000$KPFOUicjd50b9PXB$9a733845e27b753a2843a03ffa2da7a06b2cb9f4633fac781e81c701d1d21bbf
20,146.6,44.9,20.65,31,0,113.8,18.77,5.274138271604938,4.69,8.13,0.5768757687576875,64.0,6.14,153,56.0,2,2,0,4,3,0,0,29.0,Mark,Schmidt,mark.schmidt40@example.com,"[30.1, 12.0, 345.3, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$i8vPvST245nPGEFx$ea83a513508585bc0fabd493d183ae9cd2262df294d4ff93d53e551558175412
34,165.7,71.2,27.19,28,1,113.0,18.94,5.284493827160494,1.2,4.1,0.29268292682926833,67.7,6.81,168,198.0,2,3,0,2,2,0,0,47.2,Stacy,Sullivan,stacy.sullivan41@example.com,"[30.1, 12.0, 345.4, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$niLrpTz5RLiOou8w$3ebb4c38bb21590f1a240d4b217d376eaac522aaea6242747d22f980a3e3c9cf
40,155.7,61.8,19.91,35,0,76.5,13.85,2.6161111111111106,19.51,4.79,4.073068893528184,57.7,2.46,110,198.0,1,3,1,19,2,0,1,38.9,Debbie,Clark,debbie.clark42@example.com,"[26.1, 12.0, 327.2, 10.0, 24.6]",,omnivore,pbkdf2:sha256:1000000$oZkgOi8jV6ka4B96$451fbba3e66ef517cc9a643165bc23a1f011790f6427fac64dc48cdf60f56e1a
37,161.4,72.4,22.92,25,1,88.4,14.1,3.0776296296296297,8.02,6.43,1.2472783825816485,66.9,6.57,204,214.0,3,1,0,12,2,1,0,31.7,Sheila,Wright,sheila.wright43@example.com,"[26.8, 22.0, 328.8, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$55uvJzzlNJhH3aH6$eeafe77bcc8e3651d537ecf403336d13682454678cc962fc744a54b1f10f5ca9
44,153.3,56.2,29.94,34,1,79.6,5.22,1.0259555555555555,13.91,5.29,2.6294896030245747,42.9,6.28,203,184.0,3,2,1,13,0,0,0,37.8,Amber,Becker,amber.becker44@example.com,"[25.0, 12.0, 320.0, 10.0, 7.0]",,omnivore,pbkdf2:sha256:1000000$gPYVzsDtdhVDdeOg$8b4ea584a77ec59b4a0986a73a011f410413830f43e679b6f142ede81478d1b5
38,154.6,75.6,14.26,21,1,88.1,7.39,1.607553086419753,2.28,4.56,0.5,61.8,4.83,178,170.0,2,3,1,17,1,0,0,20.0,Holly,Griffin,holly.griffin45@example.com,"[25.0, 12.0, 320.0, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$tOK3TSj95YoSp23G$31f1ed8a5926b6ec268e732b69cc9370df67f2fd46045467d9cb7a1baac0edbf
37,153.0,46.3,24.74,29,0,89.3,17.96,3.960069135802469,14.51,7.58,1.9142480211081794,71.9,8.87,224,148.0,3,1,1,6,0,0,1,21.9,Deborah,Smith,deborah.smith46@example.com,"[28.1, 12.0, 340.6, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$4cb4rMgBVgpHLo0H$e8176668a3ac07a15106fa95ca68e048854270ce667b1e53b16510e124e15753
42,157.4,76.6,26.15,35,0,84.3,13.86,2.884933333333333,2.88,8.81,0.32690124858115777,109.3,4.54,189,97.0,3,2,1,12,0,1,0,32.7,Tracie,Grant,tracie.grant47@example.com,"[26.5, 12.0, 329.8, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$THvCuJY3rjpcf2g3$8177588397a6bacf74412afe20601103f096a4d86b6462c39d1d69a6828600e9
21,153.8,65.6,19.23,30,0,102.2,11.16,2.816177777777778,9.72,5.82,1.6701030927835052,76.5,9.11,161,192.0,2,1,0,16,3,1,0,35.8,Brooke,King,brooke.king48@example.com,"[26.4, 12.0, 326.9, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$v7ZLShoEpy1qsP0d$250bcbf459671f19367b5bb32628252bdaf080a6ecd28b3d5d4516e05a8a92e9
43,157.4,58.6,25.94,30,0,116.4,10.29,2.9574222222222217,7.23,7.71,0.9377431906614787,75.9,5.99,265,211.0,2,1,1,17,1,0,0,23.1,Timothy,Day,timothy.day49@example.com,"[26.6, 22.0, 330.6, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$iEzpKiUhOO4hPC0P$55f267b23610734a005ffc3121505756f48511b36b084b9b2c8975ca1ba4139b
22,151.7,31.6,14.69,26,0,114.0,23.15,6.5162962962962965,5.57,9.46,0.5887949260042283,61.8,4.34,232,207.0,1,1,0,5,3,0,0,35.6,Robert,Martinez,robert.martinez50@example.com,"[31.9, 22.0, 354.6, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$OgCQ4tnPVFGN1w9U$d176b89b96fa0d4193869d57ed25c59261266a0e9093410dff9a62ec018bddf4
39,152.3,44.5,25.04,39,0,93.6,16.2,3.7439999999999998,18.15,6.93,2.619047619047619,24.6,6.42,216,107.0,1,2,0,21,0,0,1,37.8,James,Russo,james.russo51@example.com,"[27.8, 12.0, 333.8, 10.0, 7.0]",,omnivore,pbkdf2:sha256:1000000$yXYYnV0sv0ZyvxTK$63a1448d25d05bd4e24ac3829656f10e318e6565893dc14bcb43df5f8d2b9201
40,154.7,60.3,28.13,49,1,101.5,19.59,4.909592592592593,18.58,7.69,2.416124837451235,36.3,6.84,244,172.0,2,1,1,17,2,0,0,30.0,Jamie,Palmer,jamie.palmer52@example.com,"[29.5, 12.0, 350.1, 10.0, 7.0]",,omnivore,pbkdf2:sha256:1000000$xdWuqgDgwHbLTAqd$6acf1d066a5f09e28c29c9a2146bffcedde816192126fe10b41951d3aaebca45
37,166.8,74.3,19.38,29,1,94.7,11.97,2.798911111111112,12.56,8.47,1.4828807556080283,61.5,5.36,214,133.0,3,2,1,7,1,0,1,27.9,Jennifer,Walker,jennifer.walker53@example.com,"[26.3, 12.0, 329.0, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$F9zJxDAJjhJKsXcw$1d0facc871eae4d662cacc5ce4c2e7e7025cc825590ab2a8e8e45badf190b57a
40,161.0,82.6,21.97,20,1,102.0,15.88,3.9994074074074075,9.54,8.01,1.1910112359550562,66.8,7.33,158,199.0,1,2,0,9,2,1,0,21.6,Lindsey,Alvarez,lindsey.alvarez54@example.com,"[28.1, 12.0, 335.7, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$3MEQBqoMBEf18MV4$95652f2bc879447d016e4ce28add9a3548ea5ae75b8d0ba30fbde100484e419a
43,152.7,72.9,28.53,22,1,84.7,26.23,5.485632098765432,18.36,6.45,2.8465116279069766,77.2,4.38,133,16.0,2,3,0,16,0,0,1,19.2,Stacey,Harris,stacey.harris55@example.com,"[30.4, 12.0, 346.9, 15.3, 25.0]",,omnivore,pbkdf2:sha256:1000000$zZPHfAKwlXZWzF13$c7609cfd679f9dfabf9c49f7d8f017c9b0dde0a4c14408ba0e8fbc2ad200614e
19,156.2,50.8,14.98,26,0,88.0,31.54,6.853135802469136,1.17,5.85,0.2,59.1,0.65,163,196.0,1,3,1,15,3,0,0,35.3,Ronald,Cox,ronald.cox56@example.com,"[32.4, 12.0, 369.5, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$hUrW1aq1CNoQq0k8$6a36aa8abb9106b93813050491b65192302c8f49456496493da4d368237ec820
39,151.9,60.1,24.42,36,1,94.2,23.25,5.407777777777778,14.96,8.59,1.7415599534342259,49.5,6.37,192,109.0,2,3,0,14,1,0,1,33.1,Joshua,Simmons,joshua.simmons57@example.com,"[30.3, 12.0, 346.3, 10.0, 12.2]",,omnivore,pbkdf2:sha256:1000000$1YTiYa5SoWfUf9Kx$eaa122b8751f00ebb673be3d5276bc684cd45cb5e0531e5e949c962ad32f6dee
24,150.4,63.2,21.05,41,0,100.9,13.85,3.4505308641975314,10.52,3.57,2.946778711484594,62.1,7.13,259,77.0,1,3,0,20,2,0,1,21.8,Ronald,Long,ronald.long58@example.com,"[27.3, 12.0, 331.6, 10.0, 25.0]",,omnivore,pbkdf2:sha256:1000000$pOqtJetARosCaWl3$03e1664737dddca87df8a6db2e4be3a9a34f049ac6b7be184a0e3feb6ae0fff5
21,153.1,73.2,24.96,27,1,101.4,18.62,4.661896296296296,11.04,6.4,1.7249999999999999,36.0,7.61,178,152.0,1,1,0,2,3,1,1,18.5,Miranda,Nguyen,miranda.nguyen59@example.com,"[29.1, 12.0, 340.7, 10.0, 7.0]",,omnivore,pbkdf2:sha256:1000000$hc9E7mDAG47x7XUC$ad54bfaf04fcac0ea329b958dddabbe8247d8a6d6d4736dee91169540498bf8a
20,161.3,68.2,21.34,34,0,100.4,15.24,3.778014814814815,3.67,4.33,0.8475750577367205,55.3,6.73,186,113.0,2,2,1,16,2,0,0,26.9,Brian,Christensen,brian.christensen60@example.com,"[27.8, 12.0, 338.8, 10.0, 20.9]",,omnivore,pbkdf2:sha256:1000000$RvEcW1Z5CDsBHPM5$d75246f61aa12855ab0cd27cf2a636449054ace7d2ea1f58675520ddfec5efa9
37,159.5,54.9,27.51,38,0,117.4,29.69,8.606434567901236,10.73,9.94,1.079476861167002,45.0,2.45,177,97.0,3,3,1,13,2,0,0,14.9,Ryan,Johnson,ryan.johnson61@example.com,"[35.1, 12.0, 387.1, 13.8, 7.0]",,omnivore,pbkdf2:sha256:1000000$AwX3X9CQ2uYm3HBl$498f6f93c68664222e72a213cbe78693ba9bb2841bfedfb40e2ba2fbada56a76
21,166.6,75.6,20.38,28,0,113.6,14.34,4.022281481481481,6.18,8.67,0.7128027681660899,39.6,8.85,168,136.0,2,1,0,22,3,0,0,30.8,Karen,Barber,karen.barber62@example.com,"[28.2, 12.0, 335.9, 10.0, 7.0]",,omnivore,pbkdf2:sha256:1000000$nocitfQ7mYItd6E0$cba6c3efbc32f27f854ea024c46cad347b37a21e2b028e15426b29a9596a5acb
